SYMBOL;AMOUNT;PURCHASE_DATE;PURCHASE_VALUE
BBSE3.sa;11;2023-10-01;31.46
GMAT3.sa;50;2024-05-01;7.77
PETR4.sa;10;2024-05-01;37.58
TAEE11.sa;12;2023-10-01;34.89
